,Kode BPS,Nama,Ibu Kota,Populasi,Luas km,Pulau
0,11,Aceh,Banda Aceh,4.494.410,"56.500,51",Sumatra
1,12,Sumatra Utara,Medan,12.982.204,"72.427,81",Sumatra
2,13,Sumatra Barat,Padang,4.846.909,"42.224,65",Sumatra
3,14,Riau,Pekanbaru,5.538.367,"87.844,23",Sumatra
4,15,Jambi,Jambi,3.092.265,"45.348,49",Sumatra
5,16,Sumatra Selatan,Palembang,7.450.394,"60.302,54",Sumatra
6,17,Bengkulu,Bengkulu,1.715.518,"19.795,15",Sumatra
7,18,Lampung,Bandar Lampung,7.608.405,"37.735,15",Sumatra
8,19,Kepulauan Bangka Belitung,Pangkal Pinang,1.223.296,"16.424,14",Sumatra
9,21,Kepulauan Riau,Tanjung Pinang,1.679.163,"8.084,01",Sumatra
10,31,Daerah Khusus Ibukota Jakarta,Jakarta Pusat,9.607.787,"740,29",Jawa
11,32,Jawa Barat,Bandung,43.053.732,"36.925,05",Jawa
12,33,Jawa Tengah,Semarang,32.382.657,"32.799,71",Jawa
13,34,Daerah Istimewa Yogyakarta,Yogyakarta,3.457.491,"3.133,15",Jawa
14,35,Jawa Timur,Surabaya,37.476.757,"46.689,64",Jawa
15,36,Banten,Serang,10.632.166,"9.018,64",Jawa
16,51,Bali,Denpasar,3.890.757,"5.449,37",Nusa Tenggara
17,52,Nusa Tenggara Barat,Mataram,4.500.212,"19.708,79",Nusa Tenggara
18,53,Nusa Tenggara Timur,Kupang,4.683.827,"46.137,87",Nusa Tenggara
19,61,Kalimantan Barat,Pontianak,4.395.983,"120.114,32",Kalimantan
20,62,Kalimantan Tengah,Palangkaraya,2.212.089,"153.564,50",Kalimantan
21,63,Kalimantan Selatan,Banjarmasin,3.626.616,"37.530,52",Kalimantan
22,64,Kalimantan Timur,Samarinda,3.553.143,"194.849,08",Kalimantan
23,65,Kalimantan Utara,Tanjung Selor,738.163,"72.567,49",Kalimantan
24,71,Sulawesi Utara,Manado,2.270.596,"13.930,73",Sulawesi
25,72,Sulawesi Tengah,Palu,2.635.009,"68.089,83",Sulawesi
26,73,Sulawesi Selatan,Makassar,8.034.776,"46.116,45",Sulawesi
27,74,Sulawesi Tenggara,Kendari,2.232.586,"36.757,45",Sulawesi
28,75,Gorontalo,Gorontalo,1.040.164,"12.165,44",Sulawesi
29,76,Sulawesi Barat,Mamuju,1.158.651,"16.787,19",Sulawesi
30,81,Maluku,Ambon,1.533.506,"47.350,42",Maluku
31,82,Maluku Utara,Sofifi,1.038.087,"39.959,99",Maluku
32,91,Papua Barat,Manokwari,760.422,"114.566,40",Papua
33,94,Papua,Jayapura,2.833.381,"309.934,40",Papua
